Input,,Result Number,Widget,Data Origin,Result Row,Source Page URL,Regio,Insula,Civico,IDENT,Thumb,Nome,Descrizione,Pip
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,1,regioI,regioI,1,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,1,1,I.1.1,,Caupona di Epagatus,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2001.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,2,regioI,regioI,2,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,1,2,I.1.2,,Popina,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2002.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,3,regioI,regioI,3,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,1,3,I.1.3,,Hospitium,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2003.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,4,regioI,regioI,4,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,1,4,I.1.4,,Bottega,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2004.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,5,regioI,regioI,5,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,1,5,I.1.5,,Bottega,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2005.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,6,regioI,regioI,6,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,1,6,I.1.6,,Casa con bottega,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2006.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,7,regioI,regioI,7,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,1,7,I.1.7,,Casa senza nome,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2007.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,8,regioI,regioI,8,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,1,8,I.1.8,,Hospitium di Hermes,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2008.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,9,regioI,regioI,9,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,1,9,I.1.9,,Thermopolium,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2009.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,10,regioI,regioI,10,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,1,10,I.1.10,,Ingresso secondario (I.1.1.),-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2001%2010.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,11,regioI,regioI,11,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,1,I.2.1,,Caupona con thermopolium,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2001.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,12,regioI,regioI,12,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,2,I.2.2,,Bottega,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2002.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,13,regioI,regioI,13,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,3,I.2.3,,Casa con Colonna Etrusca,"È così chiamata perché nel vestibolo presenta una colonna di tipo etrusco, probabilmente presa da qualche altra struttura, fu scavata nel 1872: a seguito del bombardamento del 1943 andarono distrutti l'atrio e tre cubicoli che contenevano diversi dipinti come quello di Polifemo ed Agatea, Arianna abbandonata da Teseo e diversi medaglioni incorniciati in ghirlande di foglie.",http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2003.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,14,regioI,regioI,14,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,4,I.2.4,,Bottega,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2004.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,15,regioI,regioI,15,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,5,I.2.5,,Bottega,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2005.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,16,regioI,regioI,16,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,6,I.2.6,,Casa degli Attori,"Chiamata anche Casa dei Mimi, è stata esplorata nel 1872 e leggermente danneggiata da un bombardamento nel 1943: al suo interno furono rinvenuti diversi affreschi ben conservati, in seguito staccati e portati al museo archeologico nazionale di Napoli, come il Ratto di Palladio oltre ad un sistro in bronzo, ritrovato nel peristilio.",http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2006.htm
webpage/url,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,17,regioI,regioI,17,https://it.wikipedia.org/wiki/Regio_I_degli_scavi_archeologici_di_Pompei,I,2,7,I.2.7,,Bottega di C. Hostilius Conops,-,http://pompeiiinpictures.com/pompeiiinpictures/R1/1%2002%2007.htm
